scholarship_name,max_income,gender,education_level,scholarship_amount,category,min_marks,disability,state
0,0.0,male,ug,0.0,any,65.0,yes,in
AAI Sports Scholarship,0.0,male,ug,0.0,any,65.0,yes,in
AAI Sports Scholarship Scheme in India 2022-23,0.0,male,ug,0.0,any,65.0,yes,in
Abdul Kalam Technology Innovation,0.0,male,ug,0.0,any,65.0,yes,in
Dr. Ambedkar post matric Scholarship,0.0,male,ug,0.0,any,65.0,yes,in
Glow and lovely Career,0.0,male,ug,0.0,any,65.0,yes,in
INSPIRE Scholarship,0.0,male,ug,0.0,any,65.0,yes,in
Indira Gandhi Scholarship,0.0,male,ug,0.0,any,65.0,yes,in
National Fellowship,0.0,male,ug,0.0,any,65.0,yes,in
National Overseas Scholarship,0.0,male,ug,0.0,any,65.0,yes,in
ONGC Sports Scholarship,0.0,male,ug,0.0,any,65.0,yes,in
Abdul Kalam Technology Innovation National Fellowship,0.0,male,ug,0.0,any,65.0,yes,in
Glow and lovely Career Foundation Scholarship,0.0,female,pg,0.0,any,65.0,yes,in
INSPIRE Scholarship 2022-23 ? Scholarship for Higher Education (SHE),0.0,female,pg,0.0,any,65.0,yes,in
Indira Gandhi Scholarship for Single Girl Child UGC Scholarship for PG Programmes,0.0,female,pg,0.0,any,65.0,yes,in
National Fellowship for Persons with Disabilities,0.0,female,pg,0.0,any,65.0,yes,in
National Overseas Scholarship Scheme 2021-22,0.0,female,pg,0.0,any,65.0,yes,in
ONGC Sports Scholarship Scheme 2022-23,0.0,female,pg,0.0,any,65.0,yes,in
Pragati Scholarship ? AICTE-Scholarship Scheme to Girl Child,0.0,female,pg,0.0,any,65.0,yes,in
Indira Gandhi Scholarship for Single Girl Child: UGC Scholarship for PG Programmes,0.0,female,pg,0.0,any,65.0,yes,in
INSPIRE Scholarship 2022-23 – Scholarship for Higher Education (SHE),0.0,male,ug,0.0,any,65.0,yes,in
Pragati Scholarship – AICTE-Scholarship Scheme to Girl Child,0.0,female,ug,0.0,any,65.0,yes,in
INSPIRE Scholarship 0,754673.0,female,pg,0.0,obc,73.0,yes,any
INSPIRE Scholarship 1,781111.0,any,arts,0.0,minority,94.0,yes,any
Overseas Scholarship 2,414912.0,any,arts,0.0,st,80.0,yes,any
ONGC Scholarship 3,988338.0,male,any,0.0,minority,54.0,no,any
Minority Scholarship 4,389113.0,any,science,0.0,sc,58.0,yes,any
Minority Scholarship 5,572205.0,male,any,0.0,sc,66.0,no,any
Sports Scholarship 6,291125.0,male,engineering,0.0,any,81.0,yes,any
Minority Scholarship 7,655956.0,any,science,0.0,any,70.0,no,any
Ambedkar Scholarship 8,663686.0,male,commerce,0.0,any,67.0,no,any
UGC Scholarship 9,962483.0,male,arts,0.0,any,78.0,yes,any
INSPIRE Scholarship 10,329820.0,male,pg,0.0,sc,69.0,no,any
Merit Scholarship 11,629971.0,male,science,0.0,obc,64.0,no,any
UGC Scholarship 12,844053.0,female,pg,0.0,sc,67.0,no,any
Minority Scholarship 13,563690.0,any,ug,0.0,minority,91.0,yes,any
Merit Scholarship 14,890113.0,male,any,0.0,sc,64.0,no,any
Minority Scholarship 15,543079.0,any,any,0.0,st,95.0,no,any
Overseas Scholarship 16,512983.0,female,science,0.0,obc,79.0,yes,any
UGC Scholarship 17,133499.0,female,commerce,0.0,any,50.0,no,any
INSPIRE Scholarship 18,116551.0,any,any,0.0,st,69.0,no,any
ONGC Scholarship 19,396551.0,any,commerce,0.0,obc,94.0,no,any
ONGC Scholarship 20,847683.0,any,ug,0.0,any,88.0,no,any
Disability Fellowship 21,820930.0,any,commerce,0.0,any,88.0,no,any
Ambedkar Scholarship 22,544011.0,any,science,0.0,sc,53.0,no,any
Pragati Scholarship 23,677691.0,any,any,0.0,any,90.0,no,any
Disability Fellowship 24,459842.0,any,arts,0.0,any,79.0,yes,any
Minority Scholarship 25,396887.0,any,ug,0.0,any,72.0,no,any
Overseas Scholarship 26,720999.0,female,arts,0.0,any,65.0,yes,any
INSPIRE Scholarship 27,718352.0,male,engineering,0.0,minority,89.0,yes,any
Pragati Scholarship 28,388694.0,any,arts,0.0,minority,74.0,yes,any
Sports Scholarship 29,694093.0,any,engineering,0.0,minority,93.0,no,any
Overseas Scholarship 30,796595.0,any,science,0.0,obc,78.0,yes,any
ONGC Scholarship 31,491284.0,male,ug,0.0,sc,57.0,no,any
Ambedkar Scholarship 32,357203.0,female,ug,0.0,any,83.0,yes,any
Merit Scholarship 33,814021.0,male,any,0.0,obc,94.0,no,any
Sports Scholarship 34,604560.0,female,ug,0.0,obc,91.0,no,any
Overseas Scholarship 35,241774.0,any,any,0.0,any,81.0,no,any
Overseas Scholarship 36,724114.0,male,arts,0.0,any,86.0,yes,any
Overseas Scholarship 37,607545.0,male,ug,0.0,st,94.0,no,any
UGC Scholarship 38,523045.0,any,science,0.0,sc,55.0,no,any
Minority Scholarship 39,135923.0,male,ug,0.0,minority,70.0,yes,any
Minority Scholarship 40,616081.0,any,commerce,0.0,any,55.0,yes,any
Sports Scholarship 41,546851.0,any,science,0.0,sc,59.0,no,any
Sports Scholarship 42,313644.0,female,arts,0.0,obc,59.0,no,any
ONGC Scholarship 43,920748.0,any,any,0.0,st,76.0,yes,any
INSPIRE Scholarship 44,402181.0,female,pg,0.0,sc,66.0,yes,any
Overseas Scholarship 45,124569.0,female,commerce,0.0,any,86.0,no,any
Disability Fellowship 46,128126.0,female,pg,0.0,obc,93.0,no,any
Minority Scholarship 47,705651.0,male,ug,0.0,sc,61.0,no,any
Merit Scholarship 48,416866.0,male,engineering,0.0,sc,75.0,no,any
ONGC Scholarship 49,648759.0,any,science,0.0,any,77.0,no,any
Ambedkar Scholarship 50,984799.0,any,engineering,0.0,any,57.0,no,any
INSPIRE Scholarship 51,204566.0,female,engineering,0.0,st,66.0,yes,any
Ambedkar Scholarship 52,326734.0,any,ug,0.0,st,77.0,no,any
Pragati Scholarship 53,927735.0,female,arts,0.0,minority,60.0,yes,any
Minority Scholarship 54,767169.0,male,ug,0.0,obc,84.0,yes,any
Minority Scholarship 55,729460.0,any,engineering,0.0,sc,61.0,no,any
Merit Scholarship 56,669007.0,female,arts,0.0,sc,95.0,no,any
UGC Scholarship 57,927066.0,female,arts,0.0,any,68.0,yes,any
Ambedkar Scholarship 58,524278.0,female,pg,0.0,any,58.0,yes,any
UGC Scholarship 59,959284.0,female,pg,0.0,obc,87.0,yes,any
Ambedkar Scholarship 60,484621.0,male,science,0.0,any,89.0,yes,any
Sports Scholarship 61,808615.0,male,any,0.0,st,77.0,no,any
Disability Fellowship 62,192774.0,female,engineering,0.0,obc,92.0,yes,any
ONGC Scholarship 63,842822.0,female,ug,0.0,sc,69.0,yes,any
Overseas Scholarship 64,169538.0,female,science,0.0,sc,86.0,no,any
Ambedkar Scholarship 65,316539.0,any,science,0.0,any,83.0,no,any
Minority Scholarship 66,894403.0,any,arts,0.0,st,92.0,no,any
Overseas Scholarship 67,634594.0,any,engineering,0.0,minority,94.0,no,any
Merit Scholarship 68,974629.0,male,ug,0.0,any,87.0,yes,any
Disability Fellowship 69,316583.0,any,ug,0.0,any,81.0,no,any
Pragati Scholarship 70,627105.0,any,ug,0.0,st,82.0,yes,any
Minority Scholarship 71,889443.0,any,pg,0.0,obc,95.0,no,any
UGC Scholarship 72,788005.0,female,ug,0.0,any,68.0,yes,any
Merit Scholarship 73,714603.0,female,engineering,0.0,any,74.0,no,any
Merit Scholarship 74,375695.0,any,science,0.0,any,54.0,no,any
Pragati Scholarship 75,969507.0,female,any,0.0,st,82.0,no,any
Pragati Scholarship 76,269482.0,male,pg,0.0,any,79.0,yes,any
Merit Scholarship 77,918549.0,any,pg,0.0,minority,80.0,yes,any
Sports Scholarship 78,545126.0,male,pg,0.0,minority,58.0,no,any
ONGC Scholarship 79,138833.0,any,any,0.0,obc,83.0,yes,any
Ambedkar Scholarship 80,855126.0,female,ug,0.0,minority,66.0,yes,any
Ambedkar Scholarship 81,241081.0,male,science,0.0,minority,66.0,yes,any
Pragati Scholarship 82,516103.0,male,any,0.0,st,59.0,no,any
Sports Scholarship 83,169189.0,male,any,0.0,any,78.0,yes,any
Disability Fellowship 84,712516.0,female,science,0.0,st,88.0,yes,any
Pragati Scholarship 85,151247.0,female,science,0.0,minority,84.0,yes,any
Disability Fellowship 86,347665.0,female,commerce,0.0,minority,65.0,no,any
Overseas Scholarship 87,368962.0,female,science,0.0,any,78.0,no,any
Ambedkar Scholarship 88,611230.0,female,ug,0.0,any,55.0,yes,any
Ambedkar Scholarship 89,446863.0,any,commerce,0.0,minority,58.0,yes,any
ONGC Scholarship 90,105533.0,female,ug,0.0,st,57.0,no,any
INSPIRE Scholarship 91,581275.0,any,commerce,0.0,st,86.0,yes,any
Minority Scholarship 92,899441.0,female,science,0.0,minority,58.0,yes,any
Merit Scholarship 93,151699.0,male,pg,0.0,obc,74.0,yes,any
Ambedkar Scholarship 94,705590.0,any,pg,0.0,st,89.0,no,any
Pragati Scholarship 95,389248.0,female,commerce,0.0,sc,86.0,yes,any
Ambedkar Scholarship 96,620805.0,female,arts,0.0,st,94.0,yes,any
Disability Fellowship 97,691651.0,any,commerce,0.0,sc,57.0,yes,any
UGC Scholarship 98,311612.0,female,ug,0.0,sc,73.0,yes,any
Overseas Scholarship 99,401551.0,any,pg,0.0,any,90.0,no,any
ONGC Scholarship 100,173899.0,male,arts,0.0,any,54.0,no,any
Pragati Scholarship 101,787119.0,male,arts,0.0,st,88.0,no,any
Ambedkar Scholarship 102,499454.0,any,ug,0.0,any,83.0,yes,any
Disability Fellowship 103,383167.0,female,pg,0.0,any,65.0,yes,any
Overseas Scholarship 104,629316.0,female,ug,0.0,any,86.0,no,any
INSPIRE Scholarship 105,228426.0,male,engineering,0.0,any,94.0,yes,any
Sports Scholarship 106,416815.0,any,commerce,0.0,obc,70.0,yes,any
Ambedkar Scholarship 107,630428.0,female,arts,0.0,minority,60.0,yes,any
Minority Scholarship 108,659084.0,male,engineering,0.0,sc,51.0,no,any
Sports Scholarship 109,506069.0,female,arts,0.0,obc,53.0,no,any
Disability Fellowship 110,822347.0,any,any,0.0,st,50.0,yes,any
Pragati Scholarship 111,232151.0,male,pg,0.0,minority,72.0,no,any
Pragati Scholarship 112,825031.0,female,any,0.0,sc,69.0,no,any
Minority Scholarship 113,591714.0,any,pg,0.0,minority,64.0,no,any
Ambedkar Scholarship 114,866457.0,female,ug,0.0,st,86.0,no,any
Overseas Scholarship 115,193399.0,any,any,0.0,sc,74.0,no,any
Merit Scholarship 116,569580.0,female,science,0.0,any,59.0,no,any
ONGC Scholarship 117,133846.0,male,any,0.0,obc,62.0,no,any
Pragati Scholarship 118,554012.0,female,commerce,0.0,any,74.0,yes,any
Ambedkar Scholarship 119,319002.0,female,arts,0.0,minority,75.0,yes,any
INSPIRE Scholarship 120,278728.0,male,any,0.0,minority,59.0,no,any
ONGC Scholarship 121,408201.0,any,any,0.0,any,76.0,no,any
