scholarship_name,max_income,gender,education_level,scholarship_amount
AICTE_2010_F,800000.0,Any,Diploma,50000.0
AICTE_2010_G,800000.0,Any,Diploma,50000.0
CSSS_GUIDLINES_07022024_updated,500000.0,Any,Diploma,12000.0
FAQs_1198,,Any,Any,
FAQ_DOHE_CSSS,500000.0,Any,Diploma,12000.0
FAQ_NSPG,,Any,UG,15000.0
Guidelines_NATIONAL_SCHOLARSHIP_FOR_POSTGRADUATE_STUDIES_UGC_2324,,Any,UG,15000.0
MORB_GL,,Any,Diploma,
STIPEND_STATICAL_GUIDLLINES,,Any,Diploma,
Top_Class_Education_Scheme_2018,0.0,Any,Any,86000.0
